smiles,molecule_chembl_id,pIC50,n_stereocenters,undefined_stereo
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,CHEMBL4867851,9.221848749616356,2,True
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,CHEMBL4858364,9.397940008672037,4,True
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@]56CCCN5[C@@H](COC(=O)N(C)C)CC6)nc4c3F)c12,CHEMBL5977600,8.586315363473087,4,True
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CCO6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,CHEMBL5273122,9.0,3,True
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,CHEMBL5081048,8.56246936830415,4,False
C#Cc1c(F)ccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,CHEMBL5187854,8.459506476544556,2,True
C#Cc1c(F)ccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@]56CCCN5[C@@H](COC(=O)N(C)C)CC6)nc4c3F)c12,CHEMBL5996049,8.645365019512084,4,True
C#Cc1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,CHEMBL4863339,9.522878745280337,2,True
C#Cc1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,CHEMBL4876040,9.397940008672037,4,True
C#Cc1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](OC)C6)nc4c3F)c12,CHEMBL5762802,8.548455006504028,4,True
C#Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)ncnc4c3F)c12,CHEMBL5896075,5.71669877129645,2,True
C#Cc1cccc2cncc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5C[C@@H](F)C6)nc4c3F)c12,CHEMBL5844159,7.434704474018313,4,True
C=CCO[C@H]1CCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C3CCCN3C(=O)C(CC(=O)O)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(CO)NC(=O)C([C@@H](C)CC)NC(=O)C(Cc3ccc(-c4ccccc4)cc3)NC(=O)C(CC3CCC3)NC(=O)C12,CHEMBL5203513,8.698970004336019,17,True
C=CCO[C@H]1CCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C3CCCN3C(=O)C(CC(=O)O)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(CO)NC(=O)C([C@@H](C)CC)NC(=O)C(Cc3ccc(-c4ccccc4)cc3)NC(=O)C12,CHEMBL5205422,9.0,16,True
CC(=O)N1CCC(Oc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cc(O)cc5ccccc45)c(F)c3n2)CC1,CHEMBL5801037,6.446116973356125,2,True
CC(=O)NC(CCCN=C(N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC1CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C1=O,CHEMBL4075783,4.409922720273325,19,True
CC(C)(C)c1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,CHEMBL5928288,5.9776435133581725,4,True
CC(C)(F)c1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,CHEMBL5834246,6.251811972993799,4,True
CC(C)(N)COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1,CHEMBL5849129,6.273272790973428,2,True
CC(C)(O)c1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,CHEMBL5739552,5.095933948085497,4,True
CC(C)Cc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,CHEMBL5870343,6.22548303427145,4,True
CC(C)Cn1ccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,CHEMBL5844637,6.342944147142896,2,True
CC(C)N1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1,CHEMBL6030504,5.830676149773368,3,True
CC(C)N1CCC[C@H]1COc1nc(N2CC3N[C@H](C[C@H]3O)C2)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1,CHEMBL5748610,6.459785613496658,4,True
CC(C)Oc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,CHEMBL6015684,5.710857164067667,4,True
CC(C)c1c(Cl)cc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,CHEMBL5798369,8.064213532227061,4,True
CC(C)c1c(F)cc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,CHEMBL5792008,7.818194010053928,4,True
CC(C)c1c(F)cccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,CHEMBL5822200,6.8794260687941495,2,True
CC(C)c1cccc(C(C)C)c1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,CHEMBL6013001,5.6020599913279625,4,True
CC(C)c1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,CHEMBL5975644,6.688246138944246,2,True
CC(C)c1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3C[C@H](F)C4)nc2c1F,CHEMBL6053648,6.959065422078572,4,True
CC(C)c1ccncc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,CHEMBL5803323,6.585026652029182,2,True
CC(C)c1ncccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,CHEMBL5974392,5.499763525174361,2,True
CC(C)c1ncccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,CHEMBL5902578,5.110866444033276,4,True
CC(Oc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1)C1CCCN1C,CHEMBL5919623,5.8941493256148565,4,True
CC(Oc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(F)c34)c(F)c2n1)C12CCCN1CCC2,CHEMBL6020482,7.431798275933005,3,True
CC(c1ccccc1)N1CCN(C(=O)c2csc3c(=O)[nH]c(-c4ccccn4)nc23)CC1,CHEMBL6051970,4.688246138944246,1,True
CC1(C)CN2C[C@H](F)CC2(COc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)C1,CHEMBL6031895,6.85078088734462,4,True
CC1(N)CN(c2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)C1,CHEMBL5841841,6.175223537524454,2,True
CC1(c2ccccc2-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)CC1,CHEMBL5955588,6.435333935747911,2,True
CC1CCCc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@H]5CCCN5C)nc4c3F)c21,CHEMBL6029519,6.500019109798047,4,True
CC1CCN(CC2NC(=O)C(CCCN=C(N)N)NC(=O)C(Cc3ccccc3)NC(=O)C(CC(N)=O)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc3ccccc3)NC(=O)C(CC(N)=O)NC(=O)C(C(C)C)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)CSC[C@@H](CNCC(N)=O)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc3ccccc3)NC2=O)CC1,CHEMBL5201714,6.096910013008056,13,True
CC1CCc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c21,CHEMBL5880902,6.751701211838146,5,True
CC1CN(c2ccccc2)CCN1C(=O)c1csc2c(=O)[nH]c(-c3ccccn3)nc12,CHEMBL5878920,5.1249387366083,1,True
CCC#Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,CHEMBL5762355,7.0851281824599495,2,True
CCC(C)c1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,CHEMBL5849451,6.114638779968487,3,True
CCC1(N)CN(c2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)C1,CHEMBL5826560,6.300162274132754,2,True
CCCC1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5193586,6.218963061378869,15,True
CCCCCC1NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC(=O)C([C@@H](C)CC)NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC1=O,CHEMBL5200027,8.301029995663981,16,True
CCCCCC1NC(=O)C2C[C@H](OCC(=O)O)CN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC(=O)C([C@@H](C)CC)NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC1=O,CHEMBL5198497,7.638272163982407,17,True
CCCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,CHEMBL5826328,5.96439233385011,2,True
CCCc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,CHEMBL5749495,6.527243550682788,2,True
CCN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,CHEMBL5785241,5.9673812391492795,3,True
CCNc1c(F)cccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,CHEMBL5989132,5.39383368539238,2,True
CCO[C@@H]1C[C@@H](COc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)N(C)C1,CHEMBL5771492,6.174395506644396,4,True
CC[C@H](C)C1NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL4063829,7.008864383480216,20,True
CC[C@H](C)C1NC(=O)C(CC2CCCCC2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5173458,6.79317412396815,16,True
CC[C@H](C)C1NC(=O)C(CCc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5176360,5.857923538926715,16,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)C(=O)C(COC)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5206709,5.945770090136603,16,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5169881,8.154901959985743,16,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CC[C@@H](c3ccccc3)N2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5193444,7.026872146400302,17,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(CC2CCCCC2)NC(=O)C2C[C@H](OCC(=O)O)CN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5200054,7.6020599913279625,17,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(CCC#N)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5170078,7.619788758288394,16,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(CCCC(=O)O)NC(=O)C2[C@@H](C)CCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5185153,7.366531544420414,17,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(Cc2ccc(Cl)cc2)NC(=O)C2C[C@H](OCC(=O)O)CN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5185461,7.481486060122112,17,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2[C@@H](c3ccccc3)CCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5172805,9.0,17,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC(C)C)NC(=O)C2[C@H]3CC[C@H](C3)N2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5204036,6.6968039425795105,18,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(CC2CCC2)NC(=O)C2[C@@H](c3ccccc3)CCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5171215,8.154901959985743,17,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(-c3ccccc3)cc2)NC(=O)C(Cc2ccccc2)NC(=O)C2[C@@H](c3ccccc3)CCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL5176621,7.698970004336019,17,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL4084139,5.747146969020107,20,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL4075048,7.242858976069812,20,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSC2=C(SCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C3CCCN3C(=O)C(CC(=O)O)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(CO)NC1=O)C(=O)NC2=O,CHEMBL4089137,7.137452739459265,20,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSCCCSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL4099289,7.0197646112328504,20,True
CC[C@H](C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(C)=O)CSCCSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)O)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC1=O,CHEMBL4081270,7.207664807767825,20,True
